algorithm,metric,n_cities,mean,std
RS,best_value,5,75.9,21.514878572745886
RS,best_value,10,143.4,29.305972087613814
RS,best_value,15,242.9,22.68237200999931
RS,best_value,20,314.6,41.50951698104906
RS,best_value,25,391.2,33.79881654732899
RS,best_value,30,456.7,59.915023157802416
RS,best_value,35,518.4,25.671774383552066
RS,best_value,40,616.4,38.15547142940315
RS,best_value,45,738.8,42.894754924116306
RS,best_value,50,768.5,35.685431200981725
RS,best_value,55,842.7,65.74047459518374
RS,best_value,60,945.6,64.02686935966805
RS,best_value,65,1017.1,65.97491947702551
RS,best_value,70,1076.0,49.50757517794625
RS,best_value,75,1119.6,50.84328864265174
RS,best_value,80,1272.1,85.96563266794469
RS,best_value,85,1279.7,80.13744443142669
RS,best_value,90,1448.8,91.5737953783723
RS,best_value,100,1533.0,40.0
RS,best_value,200,3146.0,112.65788920444054
RS,best_value,300,4616.6,145.87268421469457
RS,best_value,400,6296.9,156.7331809158482
RS,best_value,500,7844.7,203.0935991113457
RS,best_value,600,9314.8,155.32276072746066
RS,best_value,700,10857.2,245.09908200562484
RS,best_value,800,12381.5,236.09542562277653
RS,best_value,900,13955.1,162.4748903677119
RS,best_value,1000,15488.5,350.08634649183335
RS,iterations,5,11.0,0.0
RS,iterations,10,21.0,0.0
RS,iterations,15,31.0,0.0
RS,iterations,20,41.0,0.0
RS,iterations,25,51.0,0.0
RS,iterations,30,61.0,0.0
RS,iterations,35,71.0,0.0
RS,iterations,40,81.0,0.0
RS,iterations,45,91.0,0.0
RS,iterations,50,101.0,0.0
RS,iterations,55,111.0,0.0
RS,iterations,60,121.0,0.0
RS,iterations,65,131.0,0.0
RS,iterations,70,141.0,0.0
RS,iterations,75,151.0,0.0
RS,iterations,80,161.0,0.0
RS,iterations,85,171.0,0.0
RS,iterations,90,181.0,0.0
RS,iterations,100,201.0,0.0
RS,iterations,200,401.0,0.0
RS,iterations,300,601.0,0.0
RS,iterations,400,801.0,0.0
RS,iterations,500,1001.0,0.0
RS,iterations,600,1201.0,0.0
RS,iterations,700,1401.0,0.0
RS,iterations,800,1601.0,0.0
RS,iterations,900,1801.0,0.0
RS,iterations,1000,2001.0,0.0
RS,best_iter,5,1.0,0.0
RS,best_iter,10,1.0,0.0
RS,best_iter,15,1.0,0.0
RS,best_iter,20,1.0,0.0
RS,best_iter,25,1.0,0.0
RS,best_iter,30,1.0,0.0
RS,best_iter,35,1.0,0.0
RS,best_iter,40,1.0,0.0
RS,best_iter,45,1.0,0.0
RS,best_iter,50,1.0,0.0
RS,best_iter,55,1.0,0.0
RS,best_iter,60,1.0,0.0
RS,best_iter,65,1.0,0.0
RS,best_iter,70,1.0,0.0
RS,best_iter,75,1.0,0.0
RS,best_iter,80,1.0,0.0
RS,best_iter,85,1.0,0.0
RS,best_iter,90,1.0,0.0
RS,best_iter,100,1.0,0.0
RS,best_iter,200,1.0,0.0
RS,best_iter,300,1.0,0.0
RS,best_iter,400,1.0,0.0
RS,best_iter,500,1.0,0.0
RS,best_iter,600,1.0,0.0
RS,best_iter,700,1.0,0.0
RS,best_iter,800,1.0,0.0
RS,best_iter,900,1.0,0.0
RS,best_iter,1000,1.0,0.0
SA,best_value,5,49.1,11.768177428981941
SA,best_value,10,85.6,15.014659503298768
SA,best_value,15,142.2,17.209299811439163
SA,best_value,20,203.0,13.863621460498695
SA,best_value,25,279.1,11.308846094982458
SA,best_value,30,344.8,19.903768487399564
SA,best_value,35,414.0,17.966635745180564
SA,best_value,40,496.9,22.523099253877117
SA,best_value,45,559.2,24.227257376764708
SA,best_value,50,617.1,15.921369287847073
SA,best_value,55,715.7,25.698443532634425
SA,best_value,60,777.7,37.15386924668816
SA,best_value,65,835.0,41.12663370615203
SA,best_value,70,903.1,17.34041521994211
SA,best_value,75,985.8,55.333172690529864
SA,best_value,80,1055.5,42.74868419027655
SA,best_value,85,1161.5,34.30524741202139
SA,best_value,90,1208.4,43.55502267247717
SA,best_value,100,1266.2,14.4
SA,best_value,200,2747.7,36.22167859169423
SA,best_value,300,4254.4,68.36841375957175
SA,best_value,400,5753.9,75.7264154704288
SA,best_value,500,7248.7,96.28712271119123
SA,best_value,600,8745.9,128.92125503577756
SA,best_value,700,10279.1,149.8882583793674
SA,best_value,800,11795.6,117.946767653887
SA,best_value,900,13325.0,156.61353709050823
SA,best_value,1000,14816.1,155.4917682708638
SA,iterations,5,1086.0,0.0
SA,iterations,10,1086.0,0.0
SA,iterations,15,1086.0,0.0
SA,iterations,20,1086.0,0.0
SA,iterations,25,1086.0,0.0
SA,iterations,30,1086.0,0.0
SA,iterations,35,1086.0,0.0
SA,iterations,40,1086.0,0.0
SA,iterations,45,1086.0,0.0
SA,iterations,50,1086.0,0.0
SA,iterations,55,1086.0,0.0
SA,iterations,60,1086.0,0.0
SA,iterations,65,1086.0,0.0
SA,iterations,70,1086.0,0.0
SA,iterations,75,1086.0,0.0
SA,iterations,80,1086.0,0.0
SA,iterations,85,1086.0,0.0
SA,iterations,90,1086.0,0.0
SA,iterations,100,10893.0,0.0
SA,iterations,200,10893.0,0.0
SA,iterations,300,10893.0,0.0
SA,iterations,400,10893.0,0.0
SA,iterations,500,10893.0,0.0
SA,iterations,600,10893.0,0.0
