n_cities,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,mean,std,min,max,metric
5,56.0,19.0,77.0,19.0,76.0,4.0,26.0,28.0,32.0,19.0,35.6,23.97999165971498,4.0,77.0,lbsa_best_iter
10,346.0,231.0,59.0,99.0,2.0,247.0,123.0,90.0,193.0,109.0,149.9,97.48379352487264,2.0,346.0,lbsa_best_iter
15,188.0,146.0,35.0,117.0,550.0,54.0,132.0,279.0,368.0,404.0,227.3,159.44970994015637,35.0,550.0,lbsa_best_iter
20,294.0,41.0,90.0,143.0,772.0,388.0,414.0,361.0,484.0,118.0,310.5,211.89348739402067,41.0,772.0,lbsa_best_iter
25,137.0,175.0,301.0,702.0,65.0,611.0,653.0,654.0,485.0,178.0,396.1,237.15541317878453,65.0,702.0,lbsa_best_iter
30,517.0,70.0,154.0,584.0,291.0,27.0,392.0,356.0,320.0,9.0,272.0,191.15752666322086,9.0,584.0,lbsa_best_iter
35,298.0,479.0,61.0,974.0,325.0,841.0,306.0,1660.0,462.0,1261.0,666.7,478.691978207281,61.0,1660.0,lbsa_best_iter
40,256.0,1011.0,220.0,523.0,1177.0,1592.0,1864.0,403.0,1494.0,99.0,863.9,611.9549738338598,99.0,1864.0,lbsa_best_iter
45,109.0,1075.0,544.0,1634.0,505.0,923.0,271.0,526.0,560.0,330.0,647.7,426.3585462964241,109.0,1634.0,lbsa_best_iter
50,1942.0,834.0,247.0,468.0,1009.0,676.0,2474.0,1146.0,800.0,340.0,993.6,673.735289264263,247.0,2474.0,lbsa_best_iter
55,223.0,2744.0,1694.0,711.0,1599.0,317.0,260.0,43.0,529.0,633.0,875.3,818.5468893105635,43.0,2744.0,lbsa_best_iter
60,1172.0,1673.0,475.0,206.0,1387.0,2367.0,512.0,965.0,707.0,508.0,997.2,630.4153868680554,206.0,2367.0,lbsa_best_iter
65,333.0,1381.0,18.0,3404.0,2811.0,81.0,593.0,165.0,436.0,1531.0,1075.3,1134.2002512784063,18.0,3404.0,lbsa_best_iter
70,2544.0,939.0,822.0,1284.0,425.0,875.0,639.0,43.0,40.0,66.0,767.7,717.4078407712032,40.0,2544.0,lbsa_best_iter
75,1458.0,882.0,415.0,1648.0,1838.0,218.0,3330.0,1275.0,701.0,2787.0,1455.2,949.4635116738294,218.0,3330.0,lbsa_best_iter
80,2244.0,228.0,2174.0,436.0,1069.0,1702.0,1077.0,1659.0,1275.0,2631.0,1449.5,741.1444191249099,228.0,2631.0,lbsa_best_iter
85,122.0,243.0,282.0,376.0,514.0,798.0,2739.0,331.0,1733.0,558.0,769.6,787.3580125965569,122.0,2739.0,lbsa_best_iter
90,783.0,860.0,1359.0,881.0,791.0,2250.0,2158.0,2848.0,1287.0,2193.0,1541.0,717.6899051818967,717.6899051818967,2848.0,lbsa_best_iter
100,1677.0,6445.0,1702.0,5815.0,2449.0,8237.0,5970.0,1802.0,2980.0,1146.0,3822.3,2406.0174583738994,1146.0,8237.0,lbsa_best_iter
200,4502.0,2249.0,2751.0,3119.0,8813.0,7919.0,164.0,7568.0,349.0,1050.0,3848.4,3056.561669588886,164.0,8813.0,lbsa_best_iter
300,6220.0,23061.0,13364.0,16312.0,4343.0,10668.0,6192.0,17704.0,5765.0,12031.0,11566.0,5829.862262523876,4343.0,23061.0,lbsa_best_iter
400,5612.0,12256.0,17357.0,12745.0,11645.0,24200.0,4580.0,17413.0,19142.0,17372.0,14232.2,5774.83270407031,4580.0,24200.0,lbsa_best_iter
500,19045.0,29910.0,3243.0,57651.0,8513.0,4296.0,7207.0,11225.0,38861.0,11311.0,19126.2,16853.32018208875,3243.0,57651.0,lbsa_best_iter
600,8929.0,33033.0,32760.0,16040.0,10916.0,51878.0,25076.0,31615.0,7404.0,5.0,21765.6,15025.348842539397,5.0,51878.0,lbsa_best_iter
700,17603.0,20882.0,51238.0,2736.0,2785.0,28608.0,2581.0,10898.0,1138.0,17055.0,15552.4,14845.000297743345,1138.0,51238.0,lbsa_best_iter
800,12747.0,5884.0,52993.0,4477.0,45639.0,1645.0,10599.0,31527.0,4050.0,28047.0,19760.8,17650.689679443123,1645.0,52993.0,lbsa_best_iter
900,16720.0,29638.0,44558.0,15494.0,14888.0,8035.0,2950.0,9428.0,20619.0,57290.0,21962.0,16282.644496518371,2950.0,57290.0,lbsa_best_iter
1000,3974.0,10979.0,11867.0,56529.0,85332.0,44131.0,17448.0,54612.0,14841.0,22506.0,32221.9,25165.353565765774,3974.0,85332.0,lbsa_best_iter
