n_cities,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,mean,std,min,max,metric
5,40.0,69.0,36.0,52.0,59.0,49.0,42.0,48.0,37.0,73.0,50.5,12.273956167430288,12.273956167430288,73.0,lbsa_best_value
10,87.0,75.0,63.0,80.0,83.0,99.0,99.0,95.0,99.0,68.0,84.8,12.6237870704476,12.6237870704476,99.0,lbsa_best_value
15,108.0,136.0,152.0,162.0,132.0,139.0,123.0,133.0,131.0,140.0,135.6,13.99428454762872,13.99428454762872,162.0,lbsa_best_value
20,225.0,213.0,188.0,216.0,208.0,147.0,203.0,223.0,198.0,202.0,202.3,21.35439064923183,21.35439064923183,225.0,lbsa_best_value
25,313.0,271.0,279.0,273.0,235.0,259.0,225.0,288.0,234.0,244.0,262.1,26.425177388240936,26.425177388240936,313.0,lbsa_best_value
30,343.0,312.0,325.0,348.0,305.0,338.0,303.0,325.0,325.0,317.0,324.1,14.59760254288354,14.59760254288354,348.0,lbsa_best_value
35,355.0,430.0,426.0,414.0,397.0,413.0,380.0,397.0,433.0,419.0,406.4,23.290341345716683,23.290341345716683,433.0,lbsa_best_value
40,475.0,500.0,462.0,465.0,498.0,462.0,442.0,493.0,504.0,462.0,476.3,19.995249435803498,19.995249435803498,504.0,lbsa_best_value
45,568.0,559.0,531.0,551.0,547.0,550.0,552.0,502.0,529.0,559.0,544.8,18.263625050903777,18.263625050903777,568.0,lbsa_best_value
50,577.0,574.0,560.0,619.0,584.0,597.0,547.0,641.0,622.0,640.0,596.1,31.389329397105634,31.389329397105634,641.0,lbsa_best_value
55,651.0,680.0,639.0,693.0,637.0,710.0,683.0,668.0,702.0,611.0,667.4,30.414470240331326,30.414470240331326,710.0,lbsa_best_value
60,726.0,721.0,733.0,727.0,756.0,724.0,720.0,749.0,714.0,745.0,731.5,13.215521177766695,13.215521177766695,756.0,lbsa_best_value
65,772.0,748.0,742.0,791.0,798.0,824.0,848.0,861.0,788.0,797.0,796.9,36.87126252245778,36.87126252245778,861.0,lbsa_best_value
70,882.0,882.0,872.0,905.0,894.0,849.0,862.0,941.0,929.0,840.0,885.6,30.961912085657758,30.961912085657758,941.0,lbsa_best_value
75,979.0,1007.0,939.0,948.0,918.0,955.0,918.0,921.0,913.0,942.0,944.0,28.639134065121453,28.639134065121453,1007.0,lbsa_best_value
80,1003.0,1026.0,955.0,1021.0,991.0,1010.0,988.0,1044.0,986.0,986.0,1001.0,24.07072911234722,24.07072911234722,1044.0,lbsa_best_value
85,1082.0,1057.0,1078.0,1053.0,1135.0,1110.0,1108.0,1089.0,1102.0,1115.0,1092.9,24.7,24.7,1135.0,lbsa_best_value
90,1083.0,1164.0,1207.0,1148.0,1190.0,1149.0,1166.0,1027.0,1121.0,1100.0,1135.5,51.14929129518805,51.14929129518805,1207.0,lbsa_best_value
100,1292.0,1193.0,1326.0,1326.0,1323.0,1259.0,1284.0,1249.0,1295.0,1266.0,1281.3,39.51721144008013,39.51721144008013,1326.0,lbsa_best_value
200,2722.0,2697.0,2632.0,2727.0,2689.0,2716.0,2683.0,2732.0,2762.0,2644.0,2700.4,38.097768963549555,38.097768963549555,2762.0,lbsa_best_value
300,3979.0,4147.0,4229.0,4103.0,4225.0,4096.0,4147.0,4105.0,4229.0,4170.0,4143.0,73.77397915254403,73.77397915254403,4229.0,lbsa_best_value
400,5510.0,5531.0,5660.0,5437.0,5602.0,5619.0,5616.0,5458.0,5718.0,5699.0,5585.0,92.35258523723091,92.35258523723091,5718.0,lbsa_best_value
500,7073.0,6915.0,7158.0,6948.0,7068.0,7043.0,7175.0,7041.0,7022.0,7217.0,7066.0,91.11201896566665,91.11201896566665,7217.0,lbsa_best_value
600,8630.0,8681.0,8664.0,8606.0,8560.0,8535.0,8650.0,8472.0,8590.0,8676.0,8606.4,64.62847669564864,64.62847669564864,8681.0,lbsa_best_value
700,10186.0,10073.0,10240.0,10070.0,10188.0,9995.0,10060.0,10159.0,10180.0,10166.0,10131.7,72.92605844278162,72.92605844278162,10240.0,lbsa_best_value
800,11468.0,11649.0,11611.0,11540.0,11460.0,11571.0,11638.0,11624.0,11545.0,11577.0,11568.3,62.85865095593446,62.85865095593446,11649.0,lbsa_best_value
900,13144.0,12835.0,13001.0,13166.0,13213.0,13099.0,13022.0,12887.0,12970.0,13067.0,13040.4,115.32926775107869,115.32926775107869,13213.0,lbsa_best_value
1000,14684.0,14569.0,14641.0,14613.0,14484.0,14480.0,14677.0,14687.0,14691.0,14552.0,14607.8,78.22889491741526,78.22889491741526,14691.0,lbsa_best_value
