n_cities,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,mean,std,min,max,metric
5,75.0,145.0,110.0,125.0,205.0,195.0,130.0,110.0,120.0,85.0,130.0,40.06245124802026,40.06245124802026,205.0,lbsa_iterations
10,395.0,585.0,275.0,575.0,405.0,445.0,335.0,235.0,265.0,395.0,391.0,114.64728518373211,114.64728518373211,585.0,lbsa_iterations
15,240.0,570.0,525.0,630.0,810.0,270.0,450.0,450.0,480.0,735.0,516.0,172.3629890666787,172.3629890666787,810.0,lbsa_iterations
20,555.0,935.0,935.0,715.0,1035.0,1215.0,635.0,635.0,1335.0,1015.0,901.0,248.20153101864622,248.20153101864622,1335.0,lbsa_iterations
25,790.0,365.0,765.0,1065.0,1440.0,790.0,965.0,1015.0,1640.0,940.0,977.5,339.71495404235594,339.71495404235594,1640.0,lbsa_iterations
30,1185.0,1965.0,2025.0,1695.0,1125.0,1575.0,1605.0,885.0,2325.0,825.0,1521.0,479.2118529418904,479.2118529418904,2325.0,lbsa_iterations
35,1100.0,890.0,1065.0,1380.0,890.0,1555.0,1520.0,2500.0,1030.0,2430.0,1436.0,561.7908863625325,561.7908863625325,2500.0,lbsa_iterations
40,935.0,1175.0,1335.0,1575.0,1375.0,2655.0,2015.0,1175.0,2015.0,2975.0,1723.0,642.0093457263687,642.0093457263687,2975.0,lbsa_iterations
45,2940.0,1230.0,2445.0,1815.0,1365.0,2175.0,1635.0,1815.0,1905.0,2400.0,1972.5,497.14308805413356,497.14308805413356,2940.0,lbsa_iterations
50,2965.0,3365.0,1415.0,1715.0,2715.0,2215.0,3415.0,1615.0,2915.0,1015.0,2335.0,813.0805618141416,813.0805618141416,3415.0,lbsa_iterations
55,1830.0,3370.0,3535.0,1335.0,3480.0,2490.0,1610.0,1885.0,1280.0,2600.0,2341.5,837.3919333263248,837.3919333263248,3535.0,lbsa_iterations
60,1575.0,3075.0,4695.0,3795.0,3675.0,3015.0,1815.0,1515.0,2055.0,2775.0,2799.0,1007.285461028799,1007.285461028799,4695.0,lbsa_iterations
65,3200.0,3200.0,3070.0,4500.0,4825.0,2225.0,1835.0,2160.0,4240.0,2420.0,3167.5,996.113070891051,996.113070891051,4825.0,lbsa_iterations
70,2955.0,3165.0,2885.0,1555.0,1765.0,5335.0,3375.0,3795.0,2745.0,2465.0,3004.0,1011.5181659268409,1011.5181659268409,5335.0,lbsa_iterations
75,3615.0,4215.0,3615.0,2340.0,5865.0,2865.0,6765.0,2715.0,2190.0,3765.0,3795.0,1416.7656828142049,1416.7656828142049,6765.0,lbsa_iterations
80,3295.0,3215.0,6415.0,4575.0,3135.0,4015.0,4655.0,2735.0,4335.0,2975.0,3935.0,1057.0903461861715,1057.0903461861715,6415.0,lbsa_iterations
85,5115.0,3755.0,3160.0,2905.0,3585.0,5115.0,3415.0,2225.0,3755.0,2480.0,3551.0,920.3580824874631,920.3580824874631,5115.0,lbsa_iterations
90,4065.0,5055.0,2445.0,3345.0,3795.0,5865.0,4425.0,5775.0,3075.0,5325.0,4317.0,1114.5474417897158,1114.5474417897158,5865.0,lbsa_iterations
100,10930.0,10630.0,6830.0,6830.0,7030.0,10730.0,7930.0,9530.0,6930.0,9330.0,8670.0,1655.4153557340223,1655.4153557340223,10930.0,lbsa_iterations
200,18430.0,24830.0,14630.0,17430.0,18830.0,9230.0,20630.0,18630.0,12430.0,21630.0,17670.0,4319.07397482377,4319.07397482377,24830.0,lbsa_iterations
300,32730.0,30030.0,22530.0,65730.0,22530.0,37230.0,20730.0,29430.0,30330.0,37830.0,32910.0,12292.0950207847,12292.0950207847,65730.0,lbsa_iterations
400,32430.0,38030.0,30430.0,30030.0,37230.0,34830.0,49230.0,70030.0,26430.0,40430.0,38910.0,12025.040540472202,12025.040540472202,70030.0,lbsa_iterations
500,34030.0,61530.0,37530.0,65030.0,77530.0,46030.0,34530.0,34530.0,107530.0,33530.0,53180.0,23455.32988469785,23455.32988469785,107530.0,lbsa_iterations
600,39630.0,44430.0,106230.0,50430.0,64230.0,72630.0,69030.0,70830.0,39630.0,45630.0,60270.0,19705.59311464641,19705.59311464641,106230.0,lbsa_iterations
700,73530.0,40630.0,83330.0,102230.0,42030.0,123930.0,94530.0,85430.0,89630.0,53930.0,78920.0,25436.21237527317,25436.21237527317,123930.0,lbsa_iterations
800,97630.0,75230.0,92830.0,99230.0,56830.0,63230.0,70430.0,86430.0,114430.0,94430.0,85070.0,17191.812004556123,17191.812004556123,114430.0,lbsa_iterations
900,95430.0,119730.0,97230.0,65730.0,97230.0,105330.0,103530.0,74730.0,84630.0,112530.0,95610.0,15747.685544231572,15747.685544231572,119730.0,lbsa_iterations
1000,111030.0,117030.0,101030.0,114030.0,97030.0,117030.0,127030.0,151030.0,77030.0,218030.0,123030.0,36603.27854168257,36603.27854168257,218030.0,lbsa_iterations
