n_cities,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,mean,std,min,max,metric
5,52.0,110.0,104.0,86.0,59.0,77.0,65.0,48.0,59.0,99.0,75.9,21.514878572745886,21.514878572745886,110.0,rs_best_value
10,139.0,136.0,114.0,94.0,192.0,144.0,181.0,163.0,114.0,157.0,143.4,29.305972087613814,29.305972087613814,192.0,rs_best_value
15,235.0,211.0,263.0,274.0,268.0,227.0,240.0,269.0,230.0,212.0,242.9,22.68237200999931,22.68237200999931,274.0,rs_best_value
20,322.0,351.0,264.0,357.0,289.0,256.0,279.0,353.0,295.0,380.0,314.6,41.50951698104905,41.50951698104905,380.0,rs_best_value
25,378.0,449.0,386.0,407.0,385.0,343.0,385.0,452.0,364.0,363.0,391.2,33.79881654732899,33.79881654732899,452.0,rs_best_value
30,462.0,450.0,461.0,459.0,528.0,458.0,428.0,446.0,317.0,558.0,456.7,59.915023157802416,59.915023157802416,558.0,rs_best_value
35,532.0,513.0,471.0,526.0,490.0,528.0,546.0,564.0,501.0,513.0,518.4,25.671774383552066,25.671774383552066,564.0,rs_best_value
40,582.0,609.0,603.0,635.0,563.0,633.0,641.0,582.0,705.0,611.0,616.4,38.15547142940315,38.15547142940315,705.0,rs_best_value
45,779.0,822.0,722.0,764.0,707.0,663.0,720.0,705.0,741.0,765.0,738.8,42.894754924116306,42.894754924116306,822.0,rs_best_value
50,783.0,746.0,751.0,705.0,777.0,836.0,736.0,782.0,810.0,759.0,768.5,35.685431200981725,35.685431200981725,836.0,rs_best_value
55,883.0,888.0,962.0,774.0,922.0,762.0,827.0,777.0,786.0,846.0,842.7,65.74047459518374,65.74047459518374,962.0,rs_best_value
60,956.0,901.0,861.0,972.0,864.0,892.0,1033.0,932.0,992.0,1053.0,945.6,64.02686935966805,64.02686935966805,1053.0,rs_best_value
65,1068.0,1116.0,940.0,998.0,1044.0,1043.0,986.0,1056.0,1045.0,875.0,1017.1,65.97491947702551,65.97491947702551,1116.0,rs_best_value
70,1048.0,1007.0,1085.0,1144.0,1081.0,981.0,1125.0,1064.0,1113.0,1112.0,1076.0,49.50757517794625,49.50757517794625,1144.0,rs_best_value
75,1124.0,1141.0,1121.0,1010.0,1143.0,1055.0,1135.0,1163.0,1199.0,1105.0,1119.6,50.84328864265174,50.84328864265174,1199.0,rs_best_value
80,1056.0,1276.0,1348.0,1325.0,1203.0,1269.0,1290.0,1289.0,1278.0,1387.0,1272.1,85.96563266794469,85.96563266794469,1387.0,rs_best_value
85,1242.0,1212.0,1397.0,1311.0,1398.0,1147.0,1309.0,1341.0,1228.0,1212.0,1279.7,80.13744443142669,80.13744443142669,1398.0,rs_best_value
90,1646.0,1342.0,1426.0,1459.0,1487.0,1284.0,1454.0,1503.0,1469.0,1418.0,1448.8,91.5737953783723,91.5737953783723,1646.0,rs_best_value
100,1481.0,1480.0,1511.0,1536.0,1523.0,1525.0,1587.0,1560.0,1517.0,1610.0,1533.0,40.0,40.0,1610.0,rs_best_value
200,3090.0,3146.0,3071.0,3166.0,3117.0,2966.0,3085.0,3263.0,3405.0,3151.0,3146.0,112.65788920444054,112.65788920444054,3405.0,rs_best_value
300,4466.0,4759.0,4449.0,4925.0,4630.0,4480.0,4742.0,4531.0,4550.0,4634.0,4616.6,145.87268421469457,145.87268421469457,4925.0,rs_best_value
400,6443.0,6152.0,6142.0,6272.0,6481.0,6459.0,6033.0,6201.0,6290.0,6496.0,6296.9,156.7331809158482,156.7331809158482,6496.0,rs_best_value
500,7541.0,7633.0,7885.0,7758.0,7726.0,7624.0,8076.0,8078.0,8052.0,8074.0,7844.7,203.0935991113457,203.0935991113457,8078.0,rs_best_value
600,9421.0,9049.0,9622.0,9219.0,9403.0,9238.0,9430.0,9327.0,9147.0,9292.0,9314.8,155.32276072746066,155.32276072746066,9622.0,rs_best_value
700,10925.0,11107.0,10867.0,10860.0,11201.0,10356.0,10580.0,10683.0,11092.0,10901.0,10857.2,245.0990820056248,245.0990820056248,11201.0,rs_best_value
800,12489.0,12133.0,12458.0,12935.0,12120.0,12428.0,12077.0,12358.0,12466.0,12351.0,12381.5,236.09542562277653,236.09542562277653,12935.0,rs_best_value
900,14216.0,13999.0,13860.0,13594.0,14124.0,13966.0,14021.0,13957.0,13815.0,13999.0,13955.1,162.4748903677119,162.4748903677119,14216.0,rs_best_value
1000,15627.0,15735.0,14919.0,15435.0,15239.0,15400.0,15715.0,15364.0,16259.0,15192.0,15488.5,350.08634649183335,350.08634649183335,16259.0,rs_best_value
