n_cities,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,mean,std,min,max,metric
5,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,0.0,0.0,1087.0,sa_best_iter
10,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,0.0,0.0,1087.0,sa_best_iter
15,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,0.0,0.0,1087.0,sa_best_iter
20,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,0.0,0.0,1087.0,sa_best_iter
25,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,0.0,0.0,1087.0,sa_best_iter
30,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,0.0,0.0,1087.0,sa_best_iter
35,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,0.0,0.0,1087.0,sa_best_iter
40,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,0.0,0.0,1087.0,sa_best_iter
45,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,0.0,0.0,1087.0,sa_best_iter
50,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,0.0,0.0,1087.0,sa_best_iter
55,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,0.0,0.0,1087.0,sa_best_iter
60,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,0.0,0.0,1087.0,sa_best_iter
65,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,0.0,0.0,1087.0,sa_best_iter
70,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,0.0,0.0,1087.0,sa_best_iter
75,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,0.0,0.0,1087.0,sa_best_iter
80,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,0.0,0.0,1087.0,sa_best_iter
85,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,0.0,0.0,1087.0,sa_best_iter
90,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,0.0,0.0,1087.0,sa_best_iter
100,10894.0,10894.0,10894.0,10894.0,10894.0,10894.0,10894.0,10894.0,10894.0,10894.0,10894.0,0.0,0.0,10894.0,sa_best_iter
200,10894.0,10894.0,10894.0,10894.0,10894.0,10894.0,10894.0,10894.0,10894.0,10894.0,10894.0,0.0,0.0,10894.0,sa_best_iter
300,10894.0,10894.0,10894.0,10894.0,10894.0,10894.0,10894.0,10894.0,10894.0,10894.0,10894.0,0.0,0.0,10894.0,sa_best_iter
400,10894.0,10894.0,10894.0,10894.0,10894.0,10894.0,10894.0,10894.0,10894.0,10894.0,10894.0,0.0,0.0,10894.0,sa_best_iter
500,10894.0,10894.0,10894.0,10894.0,10894.0,10894.0,10894.0,10894.0,10894.0,10894.0,10894.0,0.0,0.0,10894.0,sa_best_iter
600,10894.0,10894.0,10894.0,10894.0,10894.0,10894.0,10894.0,10894.0,10894.0,10894.0,10894.0,0.0,0.0,10894.0,sa_best_iter
700,10894.0,10894.0,10894.0,10894.0,10894.0,10894.0,10894.0,10894.0,10894.0,10894.0,10894.0,0.0,0.0,10894.0,sa_best_iter
800,10894.0,10894.0,10894.0,10894.0,10894.0,10894.0,10894.0,10894.0,10894.0,10894.0,10894.0,0.0,0.0,10894.0,sa_best_iter
900,10894.0,10894.0,10894.0,10894.0,10894.0,10894.0,10894.0,10894.0,10894.0,10894.0,10894.0,0.0,0.0,10894.0,sa_best_iter
1000,10894.0,10894.0,10894.0,10894.0,10894.0,10894.0,10894.0,10894.0,10894.0,10894.0,10894.0,0.0,0.0,10894.0,sa_best_iter
