n_cities,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,mean,std,min,max,metric
5,40.0,69.0,36.0,47.0,59.0,49.0,39.0,48.0,36.0,68.0,49.1,11.768177428981941,11.768177428981941,69.0,sa_best_value
10,107.0,86.0,60.0,64.0,85.0,95.0,84.0,99.0,102.0,74.0,85.6,15.014659503298768,15.014659503298768,107.0,sa_best_value
15,132.0,141.0,158.0,182.0,154.0,142.0,128.0,120.0,132.0,133.0,142.2,17.209299811439163,17.209299811439163,182.0,sa_best_value
20,228.0,199.0,172.0,196.0,201.0,200.0,201.0,217.0,210.0,206.0,203.0,13.863621460498695,13.863621460498695,228.0,sa_best_value
25,292.0,267.0,276.0,281.0,252.0,288.0,282.0,281.0,282.0,290.0,279.1,11.308846094982458,11.308846094982458,292.0,sa_best_value
30,310.0,328.0,330.0,365.0,325.0,347.0,349.0,370.0,372.0,352.0,344.8,19.903768487399564,19.903768487399564,372.0,sa_best_value
35,440.0,383.0,430.0,400.0,406.0,434.0,422.0,393.0,407.0,425.0,414.0,17.966635745180564,17.966635745180564,440.0,sa_best_value
40,503.0,508.0,466.0,499.0,481.0,524.0,469.0,479.0,540.0,500.0,496.9,22.523099253877117,22.523099253877117,540.0,sa_best_value
45,541.0,545.0,556.0,606.0,594.0,560.0,565.0,564.0,541.0,520.0,559.2,24.22725737676471,24.22725737676471,606.0,sa_best_value
50,590.0,616.0,614.0,625.0,647.0,600.0,607.0,618.0,616.0,638.0,617.1,15.921369287847073,15.921369287847073,647.0,sa_best_value
55,720.0,713.0,712.0,738.0,708.0,713.0,690.0,667.0,769.0,727.0,715.7,25.69844353263442,25.69844353263442,769.0,sa_best_value
60,725.0,858.0,744.0,798.0,769.0,767.0,790.0,768.0,743.0,815.0,777.7,37.15386924668816,37.15386924668816,858.0,sa_best_value
65,851.0,874.0,802.0,807.0,754.0,887.0,882.0,860.0,832.0,801.0,835.0,41.12663370615203,41.12663370615203,887.0,sa_best_value
70,928.0,888.0,915.0,910.0,878.0,908.0,896.0,913.0,921.0,874.0,903.1,17.34041521994211,17.34041521994211,928.0,sa_best_value
75,940.0,1003.0,1038.0,1075.0,975.0,899.0,991.0,953.0,1058.0,926.0,985.8,55.333172690529864,55.333172690529864,1075.0,sa_best_value
80,988.0,1032.0,1040.0,1048.0,1030.0,1094.0,1110.0,1092.0,1117.0,1004.0,1055.5,42.74868419027655,42.74868419027655,1117.0,sa_best_value
85,1162.0,1076.0,1140.0,1185.0,1140.0,1194.0,1170.0,1201.0,1175.0,1172.0,1161.5,34.30524741202139,34.30524741202139,1201.0,sa_best_value
90,1220.0,1219.0,1216.0,1223.0,1220.0,1175.0,1152.0,1315.0,1170.0,1174.0,1208.4,43.555022672477165,43.555022672477165,1315.0,sa_best_value
100,1266.0,1278.0,1281.0,1244.0,1282.0,1274.0,1249.0,1256.0,1282.0,1250.0,1266.2,14.4,14.4,1282.0,sa_best_value
200,2736.0,2779.0,2709.0,2827.0,2745.0,2758.0,2727.0,2688.0,2750.0,2758.0,2747.7,36.22167859169423,36.22167859169423,2827.0,sa_best_value
300,4335.0,4262.0,4245.0,4389.0,4224.0,4166.0,4240.0,4220.0,4305.0,4158.0,4254.4,68.36841375957175,68.36841375957175,4389.0,sa_best_value
400,5786.0,5747.0,5625.0,5842.0,5605.0,5761.0,5772.0,5766.0,5841.0,5794.0,5753.9,75.7264154704288,75.7264154704288,5842.0,sa_best_value
500,7240.0,7395.0,7192.0,7202.0,7149.0,7368.0,7343.0,7323.0,7173.0,7102.0,7248.7,96.28712271119123,96.28712271119123,7395.0,sa_best_value
600,8992.0,8881.0,8657.0,8732.0,8622.0,8580.0,8798.0,8592.0,8760.0,8845.0,8745.9,128.92125503577756,128.92125503577756,8992.0,sa_best_value
700,10253.0,10220.0,10364.0,10121.0,10098.0,10617.0,10270.0,10447.0,10182.0,10219.0,10279.1,149.8882583793674,149.8882583793674,10617.0,sa_best_value
800,11781.0,11958.0,11779.0,12011.0,11701.0,11634.0,11828.0,11880.0,11716.0,11668.0,11795.6,117.946767653887,117.946767653887,12011.0,sa_best_value
900,13328.0,13256.0,13150.0,13212.0,13576.0,13171.0,13585.0,13441.0,13371.0,13160.0,13325.0,156.61353709050823,156.61353709050823,13585.0,sa_best_value
1000,14800.0,14813.0,14891.0,14686.0,14549.0,14866.0,15157.0,14898.0,14668.0,14833.0,14816.1,155.4917682708638,155.4917682708638,15157.0,sa_best_value
