n_cities,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,mean,std,min,max,metric
5,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,0.0,0.0,1086.0,sa_iterations
10,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,0.0,0.0,1086.0,sa_iterations
15,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,0.0,0.0,1086.0,sa_iterations
20,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,0.0,0.0,1086.0,sa_iterations
25,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,0.0,0.0,1086.0,sa_iterations
30,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,0.0,0.0,1086.0,sa_iterations
35,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,0.0,0.0,1086.0,sa_iterations
40,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,0.0,0.0,1086.0,sa_iterations
45,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,0.0,0.0,1086.0,sa_iterations
50,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,0.0,0.0,1086.0,sa_iterations
55,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,0.0,0.0,1086.0,sa_iterations
60,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,0.0,0.0,1086.0,sa_iterations
65,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,0.0,0.0,1086.0,sa_iterations
70,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,0.0,0.0,1086.0,sa_iterations
75,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,0.0,0.0,1086.0,sa_iterations
80,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,0.0,0.0,1086.0,sa_iterations
85,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,0.0,0.0,1086.0,sa_iterations
90,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,0.0,0.0,1086.0,sa_iterations
100,10893.0,10893.0,10893.0,10893.0,10893.0,10893.0,10893.0,10893.0,10893.0,10893.0,10893.0,0.0,0.0,10893.0,sa_iterations
200,10893.0,10893.0,10893.0,10893.0,10893.0,10893.0,10893.0,10893.0,10893.0,10893.0,10893.0,0.0,0.0,10893.0,sa_iterations
300,10893.0,10893.0,10893.0,10893.0,10893.0,10893.0,10893.0,10893.0,10893.0,10893.0,10893.0,0.0,0.0,10893.0,sa_iterations
400,10893.0,10893.0,10893.0,10893.0,10893.0,10893.0,10893.0,10893.0,10893.0,10893.0,10893.0,0.0,0.0,10893.0,sa_iterations
500,10893.0,10893.0,10893.0,10893.0,10893.0,10893.0,10893.0,10893.0,10893.0,10893.0,10893.0,0.0,0.0,10893.0,sa_iterations
600,10893.0,10893.0,10893.0,10893.0,10893.0,10893.0,10893.0,10893.0,10893.0,10893.0,10893.0,0.0,0.0,10893.0,sa_iterations
700,10893.0,10893.0,10893.0,10893.0,10893.0,10893.0,10893.0,10893.0,10893.0,10893.0,10893.0,0.0,0.0,10893.0,sa_iterations
800,10893.0,10893.0,10893.0,10893.0,10893.0,10893.0,10893.0,10893.0,10893.0,10893.0,10893.0,0.0,0.0,10893.0,sa_iterations
900,10893.0,10893.0,10893.0,10893.0,10893.0,10893.0,10893.0,10893.0,10893.0,10893.0,10893.0,0.0,0.0,10893.0,sa_iterations
1000,10893.0,10893.0,10893.0,10893.0,10893.0,10893.0,10893.0,10893.0,10893.0,10893.0,10893.0,0.0,0.0,10893.0,sa_iterations
